Lambda,Total Avg Wait Time
5000,0.000112067
5500,0.000112594
6000,0.000113224
6500,0.000113509
7000,0.000114311
7500,0.00011489
8000,0.000115678
9000,0.000117079
10000,0.000118452
10100,0.000119721
10200,0.00011889
10300,0.000119593
10400,0.000119599
10500,0.00011986
10600,0.000119645
10700,0.000120185
10800,0.000119456
10900,0.000120863
11000,0.000120592
11100,0.00012061
11200,0.000121502
11300,0.000121477
11400,0.000121339
11500,0.000122113
11600,0.000122026
11700,0.000122206
11800,0.000122596
11900,0.000123257
12000,0.000122598
12100,0.000122621
12200,0.000122834
12300,0.000123948
12400,0.000124586
12500,0.000124407
12600,0.000124494
12700,0.000124443
12800,0.000124759
12900,0.000126195
13000,0.000125922
13100,0.000125492
13200,0.000126352
13300,0.000125377
13400,0.000126166
13500,0.000126732
13600,0.000127748
13700,0.000127481
13800,0.000127937
13900,0.000128258
14000,0.000128048
14100,0.000128043
14200,0.000129056
14300,0.000129229
14400,0.000128777
14500,0.000128927
14600,0.000130867
14700,0.000129249
14800,0.000130735
14900,0.000131409
15000,0.00013178
15100,0.00013168
15200,0.000132377
15300,0.000133421
15400,0.000133246
15500,0.000133501
15600,0.000133652
15700,0.000133587
15800,0.000134481
15900,0.000134147
16000,0.000134936
16100,0.000134905
16200,0.000137394
16300,0.000136408
16400,0.000136375
16500,0.000136777
16600,0.00013811
16700,0.000139193
16800,0.0001384
16900,0.000139209
17000,0.00014078
17100,0.000140322
17200,0.00014087
17300,0.000141153
17400,0.000141844
17500,0.000142071
17600,0.000142741
17700,0.000143824
17800,0.000143311
17900,0.000146479
18000,0.000144841
18100,0.00014697
18200,0.00014742
18300,0.000147312
18400,0.000148591
18500,0.000150465
18600,0.000149959
18700,0.000148558
18800,0.000148839
18900,0.000150905
19000,0.000152222
19100,0.000152248
19200,0.000154385
19300,0.000154785
19400,0.000153967
19500,0.000156317
19600,0.000156825
19700,0.000158934
19800,0.00015759
19900,0.00015968
20000,0.000162941
20100,0.000162221
20200,0.000162036
20300,0.000163677
20400,0.000164867
20500,0.000165011
20600,0.000167347
20700,0.000165603
20800,0.000165981
20900,0.000168625
21000,0.000172675
21100,0.000170758
21200,0.000172198
21300,0.000172914
21400,0.000174725
21500,0.00017399
21600,0.000176129
21700,0.000180119
21800,0.00018147
21900,0.000185513
22000,0.000182728
22100,0.000186054
22200,0.000187585
22300,0.000191043
22400,0.000190994
22500,0.000191917
22600,0.000195437
22700,0.000195591
22800,0.000196017
22900,0.000196646
23000,0.000202496
23100,0.000205741
23200,0.000207125
23300,0.000206492
23400,0.000209984
23500,0.000207499
23600,0.000217335
23700,0.000218265
23800,0.000219303
23900,0.000219572
24000,0.000230446
24100,0.000231874
24200,0.00023803
24300,0.00023285
24400,0.000228339
24500,0.00023264
24600,0.000247417
24700,0.000246599
24800,0.000253299
24900,0.00026094
25000,0.000267035
25100,0.000270654
25200,0.000273371
25300,0.000276633
25400,0.000284547
25500,0.000291007
25600,0.000297653
25700,0.000309682
25800,0.000310548
25900,0.000328798
26000,0.000327673
26100,0.000333432
26200,0.000344466
26300,0.000357295
26400,0.000371359
26500,0.000378849
26600,0.000390583
26700,0.000401559
26800,0.000422636
26900,0.000445927
27000,0.000458923
27100,0.000479668
27200,0.00051458
27300,0.000565887
27400,0.000565545
27500,0.00059212
27600,0.000644354
27700,0.000751087
27800,0.00075665
27900,0.000870494
28000,0.000978137
28100,0.001115073
28200,0.001346552
28300,0.001319522
28400,0.002171467
28500,0.002358347
28600,0.003040178
28610,0.00364036
28620,0.003745883
28630,0.003801588
28640,0.004491943
28650,0.003990341
28660,0.004015783
28670,0.00407222
28680,0.004082586
28690,0.004362318
28700,0.0052526
