Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,
1,999302,333469,0.001970753987371853,0.13065082511417853,333612,0.0023064346197109787,0.08399577952831433,332221,0.002708489177158011,0.03872723277577275,
100,999679,333993,0.001985547019204561,0.13217941693388782,332865,0.002323079290051445,0.08611599297012303,332821,0.0027428050360682426,0.039745088200564264,
200,1000743,334259,0.0020271754683953915,0.1344675835205634,332347,0.0023714885981334986,0.08872654183729656,334137,0.0028072561786293797,0.03998359954150543,
300,999506,332829,0.002068965987557003,0.13646947832069922,333963,0.002431377285392881,0.08992014085392694,332714,0.0029086111180476036,0.04163335477316855,
400,1000467,333890,0.0021234557905119903,0.14142082721854504,332790,0.0025252035077138416,0.09328705790438414,333787,0.0031031553196839952,0.04427973528028353,
500,999777,332991,0.0021853490298889,0.14655351045523754,333501,0.002644462775576597,0.09844348292808718,333285,0.003348183095734955,0.04722384745788139,
600,999120,333721,0.0022892993461001826,0.15198923651792964,332702,0.002807408759343292,0.10351305372375279,332697,0.003667497890040875,0.05073685665936272,
700,1000578,333977,0.002424094695679612,0.15904089203747562,332941,0.0030670884715741373,0.10796207135798835,333660,0.004273263524199052,0.0532697956003117,
800,1000648,334165,0.0025704657338565095,0.1718432510885341,333689,0.0033674241999682433,0.1196743075138827,332794,0.005036476238225299,0.06387134383432394,
900,1000393,333293,0.002797489748180003,0.18460333700377746,333547,0.003874262766051411,0.1296908681535136,333553,0.006407063051933694,0.07129001987690112,
1000,998065,332714,0.003044615411678022,0.2058705074027543,332644,0.00444715305317891,0.15365375596734046,332707,0.008405385112437658,0.09288953944461643,
1100,1001873,334168,0.003367732148964979,0.24348531277680688,334370,0.0053075639808156955,0.19212548972694918,333335,0.01140337964878265,0.12977935110324448,
1200,1001099,333347,0.0036497243750250974,0.34675878288990153,333730,0.00628413481102815,0.2985826866029425,334022,0.016110842490589743,0.23991234110328064,
1300,1000521,333486,0.0024562521995521863,0.6645496362665899,333582,0.0045148654518420315,0.6401394559658494,333453,0.012773846443941349,0.6105358176414667,
1400,999426,332706,2.1460823453917244e-05,0.9976255312498121,333171,4.138127543192256e-05,0.9974277473129414,333549,0.00011291490897050836,0.9973137380115066,
1500,998486,333023,1.4495859906031985e-06,0.9998198322638376,333093,2.2178997250007294e-06,0.9997958528098759,332370,2.226107182363232e-06,0.9998254956825224,
1600,1001215,334628,1.6982156156965521e-06,0.9997549517673356,333269,3.4848299219782486e-06,0.9996999420888232,333318,4.728164557906801e-06,0.9997599889594921,
1700,1000240,332397,9.083079989927549e-07,0.9998495774630939,333673,2.261547969403837e-06,0.9998201832332853,334170,2.1954633106362447e-06,0.9998473830684981,
