Lambda,Generated Packets,k,Q1#,Q1 Avg Wait,Q1 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
3000000.0,100162,0,100162,1.0224970944560423e-06,5.99029572093209e-05,1.0224970944560423e-06,5.99029572093209e-05,
4000000.0,199899,0,199899,0.0006712890897817779,0.038734560953281406,0.0006712890897817779,0.038734560953281406,
5000000.0,299831,0,299831,0.001451898203713347,0.08770273920975483,0.001451898203713347,0.08770273920975483,
3000000.0,99997,1,99997,1.1345494521019266e-06,6.000180005400162e-05,1.1345494521019266e-06,6.000180005400162e-05,
4000000.0,199695,1,199695,0.0007717935930613419,0.04300057587821428,0.0007717935930613419,0.04300057587821428,
5000000.0,299323,1,299323,0.0015669504287346547,0.0936947712003421,0.0015669504287346547,0.0936947712003421,
3000000.0,99590,2,99590,9.26288841295008e-07,7.028818154433176e-05,9.262888412950081e-07,7.028818154433176e-05,
4000000.0,199817,2,199817,0.0005970008979051496,0.0338159415865517,0.0005970008979051497,0.0338159415865517,
5000000.0,299954,2,299954,0.001371308915729056,0.08178920767851071,0.0013713089157290559,0.08178920767851071,
3000000.0,100379,3,100379,7.848324562409646e-07,9.962243098656093e-06,7.848324562409646e-07,9.962243098656093e-06,
4000000.0,200274,3,200274,0.0003641818908399332,0.020122432267793124,0.00036418189083993317,0.020122432267793124,
5000000.0,300190,3,300190,0.0011055426516989797,0.06470568639861421,0.0011055426516989797,0.06470568639861421,
3000000.0,99965,4,99965,7.077825277608531e-07,4.00140049017156e-05,7.077825277608531e-07,4.00140049017156e-05,
4000000.0,200319,4,200319,0.0002340633377493491,0.012564958890569541,0.0002340633377493491,0.012564958890569541,
5000000.0,299971,4,299971,0.0009451081115729516,0.054805297845458394,0.0009451081115729516,0.054805297845458394,
3000000.0,100254,5,100254,6.591487829206478e-07,6.982265046781176e-05,6.591487829206478e-07,6.982265046781176e-05,
4000000.0,199835,5,199835,7.668589926621878e-05,0.0041083894212725494,7.668589926621878e-05,0.0041083894212725494,
5000000.0,299882,5,299882,0.0007966297060543167,0.046868434917734306,0.0007966297060543166,0.046868434917734306,
3000000.0,100316,6,100316,6.293188675601676e-07,1.9936999082898044e-05,6.293188675601676e-07,1.9936999082898044e-05,
4000000.0,200207,6,200207,2.8869057984342416e-05,0.0015334129176302527,2.8869057984342416e-05,0.0015334129176302527,
5000000.0,299890,6,299890,0.0007168978562175522,0.04165860815632399,0.0007168978562175522,0.04165860815632399,
3000000.0,99500,7,99500,6.017432337387714e-07,2.0100502512562815e-05,6.017432337387714e-07,2.0100502512562815e-05,
4000000.0,199716,7,199716,7.227624873040576e-06,0.0004005688077069439,7.227624873040576e-06,0.0004005688077069439,
5000000.0,299485,7,299485,0.000668977217477818,0.038639664757834286,0.000668977217477818,0.038639664757834286,
3000000.0,100125,8,100125,5.834867520020517e-07,1.9975031210986267e-05,5.834867520020517e-07,1.9975031210986267e-05,
4000000.0,199652,8,199652,2.591458458260865e-06,0.00015026145493158096,2.5914584582608654e-06,0.00015026145493158096,
5000000.0,299533,8,299533,0.0006328283192410784,0.03622973094784214,0.0006328283192410786,0.03622973094784214,
3000000.0,100287,9,100287,5.683609229413856e-07,4.9856910666387465e-05,5.683609229413855e-07,4.9856910666387465e-05,
4000000.0,200360,9,200360,2.4489279329444113e-06,0.0001547215012976642,2.4489279329444113e-06,0.0001547215012976642,
5000000.0,300560,9,300560,0.0006311278334327014,0.03629225445834442,0.0006311278334327014,0.03629225445834442,
